id,category,amenity,fr,top
1000,Basic Essentials,Electricity,Électricité,0
1001,Basic Essentials,Prepaid electricity meter,Compteur électricité prépayé,1
1002,Basic Essentials,Running water,Eau courante,0
1003,Basic Essentials,Hot water,Eau chaude,0
1004,Basic Essentials,Private well,Forage d'eau,1
1005,Basic Essentials,Cubitainer,Cubitainer,1
1006,Basic Essentials,Air conditioning,Climatisation,1
1007,Basic Essentials,Heating,Chauffage,0
1008,Basic Essentials,Wi-Fi,Wi-Fi,1
1009,Kitchen & Dining,Refrigerator,Réfrigérateur,1
1010,Kitchen & Dining,Microwave,Micro-ondes,0
1011,Kitchen & Dining,Stove,Cuisinière,1
1012,Kitchen & Dining,Oven,Four,1
1013,Kitchen & Dining,Dishwasher,Lave-vaisselle,1
1014,Kitchen & Dining,Coffee Maker,Cafetière,0
1015,Kitchen & Dining,Cooking basics,Nécessaire de cuisine de base,1
1016,Kitchen & Dining,Dining table,Table à manger,0
1017,Kitchen & Dining,Toaster,Grille-pain,0
1018,Kitchen & Dining,Blender,Mixeur,0
1019,Bathroom Amenities,Hair dryer,Sèche-cheveux,0
1020,Bathroom Amenities,Bath towels,Serviettes de bain,0
1021,Bathroom Amenities,Bidet,Bidet,0
1022,Bathroom Amenities,Bathtub,Baignoire,0
1023,Bathroom Amenities,Jacuzzi,Jacuzzi,1
1024,Bedroom Amenities,Bed linens,Draps,0
1025,Bedroom Amenities,Pillows,Oreillers,0
1026,Bedroom Amenities,Wardrobe,Armoire,1
1027,Bedroom Amenities,Closet,Placard,1
1028,Bedroom Amenities,Dresser,Commode,0
1029,Bedroom Amenities,Safe,Coffre-fort,0
1030,Bedroom Amenities,Locker,Casier,0
1031,Entertainment & Electronics,TV,Télévision,1
1032,Entertainment & Electronics,Cable/Satellite,Câble/Satellite,1
1033,Entertainment & Electronics,Streaming services,Service de streaming,1
1034,Entertainment & Electronics,Sound system,Système de son,0
1035,Entertainment & Electronics,Speakers,Haut-parleurs,0
1036,Entertainment & Electronics,Board games,Jeux de société,0
1037,Entertainment & Electronics,Books,Livres,0
1038,Entertainment & Electronics,DVD player,Lecteur DVD,0
1039,Entertainment & Electronics,Video game console,Console de jeux vidéo,0
1040,Laundry & Cleaning,Washing machine,Machine à laver,1
1041,Laundry & Cleaning,Dryer,Sécheuse,1
1042,Laundry & Cleaning,Iron,Fer à repasser,0
1043,Laundry & Cleaning,Ironing board,Planche à repasser,0
1044,Laundry & Cleaning,Vacuum cleaner,Aspirateur,1
1045,Laundry & Cleaning,Laundry detergent,Lessive,0
1046,Outdoor & Recreational,Swimming pool,Piscine,1
1047,Outdoor & Recreational,Garden,Jardin,0
1048,Outdoor & Recreational,Yard,Cour,0
1049,Outdoor & Recreational,BBQ grill,Barbecue,0
1050,Outdoor & Recreational,Patio,Terrasse,1
1051,Outdoor & Recreational,Rooftop,Toit-terrasse,1
1052,Outdoor & Recreational,Balcony,Balcon,1
1053,Outdoor & Recreational,Mountain view,Vue sur la montagne,1
1054,Outdoor & Recreational,Beach view,Vue sur la plage,1
1055,Outdoor & Recreational,Beach access,Accès à la plage,1
1056,Outdoor & Recreational,Ocean view,Vue sur l'océan,1
1057,Outdoor & Recreational,Hiking trails,Sentiers de randonnée,0
1058,Safety & Security,Security cameras,Caméras de surveillance,1
1059,Safety & Security,24/7 Security guard,24/7 Gardien de sécurité,1
1530,Laundry & Cleaning,Laundry room,Buanderie,0
1630,Outdoor & Recreational,Gym,Salle de sport,1
1631,Outdoor & Recreational,Outbuilding,Dépendance,1
1632,Outdoor & Recreational,Sauna,Sauna,1
1633,Outdoor & Recreational,Private hot tube,Spa privé,1
1634,Outdoor & Recreational,Home cinema,Cinéma Maison, 1
1130,Basic Essentials,Generator set,Groupe électrogène,1
1131,Basic Essentials,Elevator,Ascenseur,0
1132,Basic Essentials,Solar electricity, Électricité solaire,0
1230,Kitchen & Dining,American kitchen,Cuisine americaine,1
1231,Kitchen & Dining,Outdoor kitchen,Cuisine extérieure,1
1730,Safety & Security,Video intercom,Interphone vidéo, 1
1731,Safety & Security,Alarm system,Système d'alarme, 1
1732,Safety & Security,Concierge,Conciergerie, 1

