code,description
ADM-420.1,"Autorisation du ministre du Revenu pour la signature de certains actes, documents ou écrits du bureau de la présidente-directrice générale et secrétariat général de l'Agence du revenu du Québec"
ADM-420.2,"Autorisation du ministre du Revenu pour la signature de certains actes, documents ou écrits de la Direction générale du centre gouvernemental de traitement massif de l'Agence du revenu du Québec"
ADM-420.3,"Autorisation du ministre du Revenu pour la signature de certains actes, documents ou écrits de la Direction générale des entreprises de l'Agence du revenu du Québec"
ADM-420.4,"Autorisation du ministre du Revenu pour la signature de certains actes, documents ou écrits de la Direction générale des enquêtes, de l'inspection et des poursuites pénales de l'Agence du revenu du Québec"
ADM-420.5,"Autorisation du ministre du Revenu pour la signature de certains actes, documents ou écrits de la Direction générale de l'innovation et de l'administration de l'Agence du revenu du Québec"
ADM-420.6,"Autorisation du ministre du Revenu pour la signature de certains actes, documents ou écrits de la Direction générale de la législation de l'Agence du revenu du Québec"
ADM-420.7,"Autorisation du ministre du Revenu pour la signature de certains actes, documents ou écrits de la Direction générale des particuliers de l'Agence du revenu du Québec"
ADM-420.8,"Autorisation du ministre du Revenu pour la signature de certains actes, documents ou écrits de la Direction générale du recouvrement de l'Agence du revenu du Québec"
ADM-420.9,"Autorisation du ministre du Revenu pour la signature de certains actes, documents ou écrits pour l'application de l'entente relative à l'administration par le Canada du titre I de la Loi sur la taxe de vente du Québec (chapitre T-0.1) applicable aux institutions financières désignées particulières"
ADM-500,Rapport annuel de gestion
ADM-500.EF,États financiers des activités administrées pour le fonds général du fonds consolidé du revenu de l'exercice clos le 31 mars 2020
ADM-500.ET,Rapport d'étalonnage – Performance de Revenu Québec par rapport à celle d'autres administrations fiscales
ADM-506,"Rapport d'activité résultant de la comparaison, du couplage ou de l'appariement des fichiers de renseignements inscrits au plan d'utilisation"
ADM-507,Plan stratégique
ADM-507.1,Tableau synoptique
ADM-507.2,Survol du plan stratégique
ADM-540,Plan d'action à l'égard des personnes handicapées
ADM-540.2,Bilan des réalisations découlant du Plan d'action à l'égard des personnes handicapées
ADM-561,Plan de développement durable
ADM-571,Politique de confidentialité
ADM-583.1,Plan d'utilisation des fichiers de renseignements des organismes publics
ADM-588,L'éthique à Revenu Québec
ADM-595,Rapport annuel sur les sondages et les consultations effectués dans le cadre du plan triennal des sondages
ADM-601,Rapport annuel du Bureau de la protection des droits de la clientèle
ADM-602,Charte du conseil d'administration
ADM-603.1,Charte du comité d'audit
ADM-603.2,Charte du comité de gouvernance et d'éthique
ADM-603.3,Charte du comité des ressources humaines
ADM-603.4,Charte du comité des services aux particuliers et aux entreprises
ADM-603.5,Charte du comité des technologies de l'information
ADM-604,Règlement intérieur
ADM-605,Plan triennal des sondages
ADM-610.EM,Évaluation du fonctionnement et de la performance du conseil d'administration et des comités
ADM-610.FC,Programme de formation continue à l'intention des membres du conseil d'administration
ADM-1120,Code d'éthique et de déontologie à l'intention des membres du conseil d'administration
ADM-1120.1,Code de déontologie à l'intention des dirigeants et des employés
BD-81.1,Réclamation d'un produit financier non réclamé à titre de propriétaire
BD-81.3,Réclamation d'un produit financier non réclamé à titre d'héritier ou de liquidateur d'une succession
BD-81.4,Déclaration d'hérédité et de transmission par décès
BD-81.7,Biens non réclamés – Désignation d'un liquidateur – Succession ou produit financier non réclamés
BD-81.8,Renonciation au contenu d'un coffret de sûreté
BD-81.10,Réclamation d'une succession
BD-82.1,Demande d'ouverture de dossier pour une succession non réclamée
BD-84.1,Demande d'un numéro d'identification par un détenteur de produits financiers non réclamés
BD-805,"Demande concernant la remise de biens (autres que des biens immobiliers, des successions et des produits financiers non réclamés)"
BD-806,Demande d'ouverture de dossier concernant des biens immobiliers non réclamés (autres que des successions non réclamées)
BNR-105,Patrimoine familial
BNR-107,Autorisation relative à la communication de renseignements ou procuration aux fins de l'application de la Loi sur les biens non réclamés
BNZ-111,Preuve de créance
CA-1,Tableau des taux de taxe applicables dans les différentes régions du Québec
CA-10.7,Demande de remboursement de la taxe relative au carburant utilisé à d'autres fins que la propulsion d'un véhicule
CA-10.B,Demande de remboursement de la taxe sur les carburants payée sur du carburant utilisé à des fins particulières
CA-10.BI,Demande de remboursement concernant le biodiesel
CA-15.U,Déclaration pour un usager qui doit remettre la taxe sur les carburants
